# Channel	Signal	X(mm)	Y(mm)	Z(mm)	Phi(rad)	Theta(rad)
0	9.17311	0	0	971.41	1.5708	0
1	0	12.1244	0	971.41	1.5708	0
2	0	6.06218	10.5	971.41	1.5708	0
3	0	-6.06218	10.5	971.41	1.5708	0
4	0	-12.1244	1.48481e-15	971.41	1.5708	0
5	0.515987	-6.06218	-10.5	971.41	1.5708	0
6	0	6.06218	-10.5	971.41	1.5708	0
7	0	30.6531	10.6185	970.8	1.23732	0.037625
8	0	42.7698	10.6159	970.369	1.23732	0.037625
9	3.00419	36.7091	21.1164	970.455	1.23732	0.037625
10	0	24.5924	21.1191	970.886	1.23732	0.037625
11	0.814113	18.5364	10.6212	971.231	1.23732	0.037625
12	0	24.597	0.120666	971.144	1.23732	0.037625
13	0	36.7137	0.118012	970.713	1.23732	0.037625
14	0	6.13062	31.8556	970.8	0.190126	0.037625
15	0	18.2547	31.854	970.713	0.190126	0.037625
16	0	12.1913	42.3477	970.369	0.190126	0.037625
17	11.3517	0.0672148	42.3493	970.455	0.190126	0.037625
18	0	-5.99343	31.8572	970.886	0.190126	0.037625
19	0	0.0699729	21.3636	971.231	0.190126	0.037625
20	0	12.194	21.362	971.144	0.190126	0.037625
21	1.5365	-24.5225	21.2371	970.8	-0.857072	0.037625
22	0	-12.403	21.2413	971.144	-0.857072	0.037625
23	1.65116	-18.4591	31.736	970.713	-0.857072	0.037625
24	0	-30.5785	31.7318	970.369	-0.857072	0.037625
25	0	-36.6419	21.2328	970.455	-0.857072	0.037625
26	0	-30.5859	10.7381	970.886	-0.857072	0.037625
27	0	-18.4664	10.7424	971.231	-0.857072	0.037625
28	0	-30.6531	-10.6185	970.8	4.37892	0.037625
29	8.14113	-18.5364	-10.6212	971.231	4.37892	0.037625
30	4.0591	-24.597	-0.120666	971.144	4.37892	0.037625
31	0.527454	-36.7137	-0.118012	970.713	4.37892	0.037625
32	0	-42.7698	-10.6159	970.369	4.37892	0.037625
33	1.60529	-36.7091	-21.1164	970.455	4.37892	0.037625
34	0	-24.5924	-21.1191	970.886	4.37892	0.037625
35	0	-6.13062	-31.8556	970.8	3.33172	0.037625
36	0	5.99343	-31.8572	970.886	3.33172	0.037625
37	0	-0.0699729	-21.3636	971.231	3.33172	0.037625
38	0	-12.194	-21.362	971.144	3.33172	0.037625
